tsne1	tsne2
-2.2849076	-5.109121
-2.0149355	-5.715701
-1.7290609	-5.6407304
-0.70297694	-6.606601
-1.502128	-5.732999
-1.9134736	-5.55206
-1.8296801	-4.933873
-1.8497974	-5.3306003
-1.3387595	-5.0429807
-2.2952003	-5.093689
-1.0236369	-4.900549
-2.087768	-6.699613
-2.6424563	-6.057706
-2.1259065	-6.621222
-2.032678	-5.30593
-2.046076	-7.0245957
-2.3489082	-6.919223
-2.6784334	-6.328713
-2.2632878	-6.217944
-2.636918	-6.3886423
0.23138484	-5.521173
-0.58453184	-4.9943438
0.26366726	-5.5122094
-0.54901594	-4.7996497
-0.45883575	-4.5889544
-0.7005175	-5.3173156
-0.12684602	-5.1420536
0.29142013	-5.5841694
0.33496743	-5.99352
-0.04271308	-4.868492
-0.989986	-6.058096
-0.6150224	-6.656565
-0.42321476	-6.976896
-0.56521505	-6.6001687
-0.9973406	-6.694999
-1.002279	-6.7055335
-0.39380243	-6.1715846
-0.96605915	-7.1119037
-0.53425646	-6.019485
-0.9595807	-6.0244694
